,date,channel,spend
1,1/1/20,facebook_prospecting,4153.654384
2,1/1/20,facebook_retargeting,2679.018766
3,1/1/20,google_branded_search,474
4,1/1/20,google_nonbranded_search,3816.530595
5,1/1/20,pinterest,7421.237665
6,1/1/20,twitter,2233.122329
7,1/1/20,tiktok,597.9358878
8,1/1/20,linear_tv,4693.013749
9,1/1/20,online_display,228.2613667
10,1/1/20,online_video,0
11,1/2/20,facebook_prospecting,9165.329829
12,1/2/20,facebook_retargeting,3009.454395
13,1/2/20,google_branded_search,505
14,1/2/20,google_nonbranded_search,2958.017408
15,1/2/20,pinterest,5605.113789
16,1/2/20,twitter,822.0833916
17,1/2/20,tiktok,985.6855882
18,1/2/20,linear_tv,4369.323491
19,1/2/20,online_display,301.7714107
20,1/2/20,online_video,0
21,1/3/20,facebook_prospecting,4382.851413
22,1/3/20,facebook_retargeting,2510.536498
23,1/3/20,google_branded_search,483
24,1/3/20,google_nonbranded_search,5388.09932
25,1/3/20,pinterest,10587.22168
26,1/3/20,twitter,1781.759102
27,1/3/20,tiktok,488.2315642
28,1/3/20,linear_tv,6154.822989
29,1/3/20,online_display,378.7023378
30,1/3/20,online_video,0
31,1/4/20,facebook_prospecting,9311.264657
32,1/4/20,facebook_retargeting,3824.257334
33,1/4/20,google_branded_search,528
34,1/4/20,google_nonbranded_search,3791.973573
35,1/4/20,pinterest,10375.87716
36,1/4/20,twitter,2269.90495
37,1/4/20,tiktok,867.0670782
38,1/4/20,linear_tv,6313.584255
39,1/4/20,online_display,343.2577398
40,1/4/20,online_video,0
41,1/5/20,facebook_prospecting,8486.60611
42,1/5/20,facebook_retargeting,3872.546161
43,1/5/20,google_branded_search,462
44,1/5/20,google_nonbranded_search,4053.073741
45,1/5/20,pinterest,9356.443611
46,1/5/20,twitter,2775.742352
47,1/5/20,tiktok,608.5426355
48,1/5/20,linear_tv,5092.834643
49,1/5/20,online_display,484.3372357
50,1/5/20,online_video,0
51,1/6/20,facebook_prospecting,7049.988689
52,1/6/20,facebook_retargeting,4469.27044
53,1/6/20,google_branded_search,436
54,1/6/20,google_nonbranded_search,5092.162704
55,1/6/20,pinterest,7032.617487
56,1/6/20,twitter,3083.312321
57,1/6/20,tiktok,795.9280548
58,1/6/20,linear_tv,6517.778923
59,1/6/20,online_display,553.6691358
60,1/6/20,online_video,0
61,1/7/20,facebook_prospecting,9948.62866
62,1/7/20,facebook_retargeting,2375.925678
63,1/7/20,google_branded_search,552
64,1/7/20,google_nonbranded_search,6217.705818
65,1/7/20,pinterest,11112.41583
66,1/7/20,twitter,2313.175385
67,1/7/20,tiktok,1361.876833
68,1/7/20,linear_tv,6782.117283
69,1/7/20,online_display,489.1274199
70,1/7/20,online_video,0
71,1/8/20,facebook_prospecting,10412.10115
72,1/8/20,facebook_retargeting,3265.717702
73,1/8/20,google_branded_search,469
74,1/8/20,google_nonbranded_search,5705.284064
75,1/8/20,pinterest,13820.19234
76,1/8/20,twitter,2193.239682
77,1/8/20,tiktok,1160.061478
78,1/8/20,linear_tv,6608.173322
79,1/8/20,online_display,470.6532458
80,1/8/20,online_video,0
81,1/9/20,facebook_prospecting,10312.61174
82,1/9/20,facebook_retargeting,4227.331773
83,1/9/20,google_branded_search,577
84,1/9/20,google_nonbranded_search,3638.864866
85,1/9/20,pinterest,10056.33246
86,1/9/20,twitter,2578.090348
87,1/9/20,tiktok,1020.112856
88,1/9/20,linear_tv,6264.359982
89,1/9/20,online_display,667.8085835
90,1/9/20,online_video,0
91,1/10/20,facebook_prospecting,8832.885158
92,1/10/20,facebook_retargeting,4737.66028
93,1/10/20,google_branded_search,569
94,1/10/20,google_nonbranded_search,4399.813447
95,1/10/20,pinterest,9860.842355
96,1/10/20,twitter,3523.854332
97,1/10/20,tiktok,1412.158037
98,1/10/20,linear_tv,5376.682205
99,1/10/20,online_display,498.2606937
100,1/10/20,online_video,0
101,1/11/20,facebook_prospecting,8440.281483
102,1/11/20,facebook_retargeting,3491.085783
103,1/11/20,google_branded_search,532
104,1/11/20,google_nonbranded_search,7279.989674
105,1/11/20,pinterest,8757.243571
106,1/11/20,twitter,3239.356815
107,1/11/20,tiktok,1283.400667
108,1/11/20,linear_tv,7981.16475
109,1/11/20,online_display,493.0029575
110,1/11/20,online_video,0
111,1/12/20,facebook_prospecting,12418.18237
112,1/12/20,facebook_retargeting,3749.379295
113,1/12/20,google_branded_search,557
114,1/12/20,google_nonbranded_search,5857.664688
115,1/12/20,pinterest,13532.06441
116,1/12/20,twitter,2961.267041
117,1/12/20,tiktok,971.7273845
118,1/12/20,linear_tv,8889.183263
119,1/12/20,online_display,679.0181844
120,1/12/20,online_video,0
121,1/13/20,facebook_prospecting,14277.67452
122,1/13/20,facebook_retargeting,4831.296779
123,1/13/20,google_branded_search,474
124,1/13/20,google_nonbranded_search,6067.280946
125,1/13/20,pinterest,13065.04458
126,1/13/20,twitter,2420.595811
127,1/13/20,tiktok,1206.356831
128,1/13/20,linear_tv,5900.103088
129,1/13/20,online_display,726.8362455
130,1/13/20,online_video,0
131,1/14/20,facebook_prospecting,12583.79941
132,1/14/20,facebook_retargeting,4385.005115
133,1/14/20,google_branded_search,563
134,1/14/20,google_nonbranded_search,5368.329982
135,1/14/20,pinterest,13967.91844
136,1/14/20,twitter,2382.084871
137,1/14/20,tiktok,1604.525111
138,1/14/20,linear_tv,8344.858091
139,1/14/20,online_display,623.9391154
140,1/14/20,online_video,0
141,1/15/20,facebook_prospecting,13360.17615
142,1/15/20,facebook_retargeting,5400.818458
143,1/15/20,google_branded_search,416
144,1/15/20,google_nonbranded_search,6402.12668
145,1/15/20,pinterest,14903.83373
