"wk_strt_dt","guests.x","DIRECT_MAIL_S","PRINT_S","PAID_SEARCH_S","PRINT_CONSUMER_S","PRINT_TRADE_S","DISPLAY_ALL_PHD_S","DISPLAY_PHD","DISPLAY_ZIMM","DISPLAY_WITH_CC_S","DISPLAY_ZIMM_OTHER_S","DISPLAY_ALL_S","DISPLAY_PROGRAMMATIC_S","PAID_SOCIAL_S","DISPLAY_CRUISE_CRITIC_S","DISPLAY_S","OLV_S","Display.PHD_Programmatic.S","Search.Bing.Yahoo_S","Search.Google.AdWords_S","Social.FB_S","Social.Other_S","Display.Endemic_Luxury_S","Display.Endemic_Cruises_S2","Display_Other_S2","directmail_I","revenue","Connected_TV.Hulu.I","Connected_TV.Programmatic_Video.I","Display.Afar_Media._LLC.I","Display.Amazon.I","Display.Bloomberg.I","Display.Conde_Nast.I","Display.Cruise_Critic.I","Display.CruiseCritic.I","Display.Dot_Dash_Meredith.I","Display.Hulu.I","Display.Kargo.I","Display.Kerv.I","Display.Luxury_Link.I","Display.Martini_Media.I","Display.Meredith_Corporation.I","Display.Meredith_Interactive.I","Display.MyPoints._Inc.I","Display.Northstar_Travel_Group.I","Display.PHD_Programmatic.I","Display.Programmatic_Display.I","Display.Questex_Media_Group.I","Display.Robb_Report.I","Display.Sojern.I","Display.The_Wall_Street_Journal.I","Display.The_Wall_Street_Journal_Online.I","Display.Travel_And_Leisure.com.I","Display.Travel_Curator.I","Display.Travel_Relations.I","Display.Trip_Advisor.I","Display.Wall_Street_Journal.I","Display.Worth_International_Media.I","Display.Zefr.I","Display.demandbase.com.I","Online_Video.Amazon.I","Online_Video.Dot_Dash_Meredith.I","Online_Video.Kargo.I","Online_Video.NBC_Universal_._NBC_Sports.I","Online_Video.Northstar_Travel_Group.I","Online_Video.Programmatic_Video.I","Online_Video.Questex_Media_Group.I","Online_Video.Worth_International_Media.I","Online_Video.YouTube.I","Paid_Search.Bing_Ads.I","Paid_Search.Google_AdWords.I","Paid_Social.Facebook.I","Search.Bing_Ads.I","Search.Google_AdWords.I","Search.Yahoo_Gemini.I","Social.FB_IG.I","Social.Facebook.I","Social.Instagram.I","Social.LinkedIn.I","Social.Linkedin.I","Social.Pinterest.I","Connected_TV.Hulu.S","Connected_TV.Programmatic_Video.S","Display.Afar_Media._LLC.S","Display.Amazon.S","Display.Bloomberg.S","Display.Conde_Nast.S","Display.Cruise_Critic.S","Display.CruiseCritic.S","Display.Dot_Dash_Meredith.S","Display.Hulu.S","Display.Kargo.S","Display.Kerv.S","Display.Luxury_Link.S","Display.Martini_Media.S","Display.Meredith_Corporation.S","Display.Meredith_Interactive.S","Display.MyPoints._Inc.S","Display.Northstar_Travel_Group.S","Display.PHD_Programmatic.S.1","Display.Programmatic_Display.S","Display.Questex_Media_Group.S","Display.Robb_Report.S","Display.Sojern.S","Display.The_Wall_Street_Journal.S","Display.The_Wall_Street_Journal_Online.S","Display.Travel_And_Leisure.com.S","Display.Travel_Curator.S","Display.Travel_Relations.S","Display.Trip_Advisor.S","Display.Wall_Street_Journal.S","Display.Worth_International_Media.S","Display.Zefr.S","Display.demandbase.com.S","Online_Video.Amazon.S","Online_Video.Dot_Dash_Meredith.S","Online_Video.Kargo.S","Online_Video.NBC_Universal_._NBC_Sports.S","Online_Video.Northstar_Travel_Group.S","Online_Video.Programmatic_Video.S","Online_Video.Questex_Media_Group.S","Online_Video.Worth_International_Media.S","Online_Video.YouTube.S","Paid_Search.Bing_Ads.S","Paid_Search.Google_AdWords.S","Paid_Social.Facebook.S","Search.Bing_Ads.S","Search.Google_AdWords.S","Search.Yahoo_Gemini.S","Social.FB_IG.S","Social.Facebook.S","Social.Instagram.S","Social.LinkedIn.S","Social.Linkedin.S","Social.Pinterest.S","guests.y","google_trend_SBN","google_trend_COVID","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
2017-12-31,644,142748.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88784.4,5259631.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,80,0,0,0,0,0,0,0
2018-01-07,1011,151892.8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140670.25,8960914.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,77,-1,0,0,0,0,0,0
2018-01-14,1077,151892.8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140670.25,9783574.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,84,0,0,0,0,0,0,0
2018-01-21,1040,151892.8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140670.25,9630200.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,71,0,0,0,0,0,0,0
2018-01-28,913,151892.8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140670.25,7725330.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,53,0,0,0,0,0,0,0
2018-02-04,764,153894.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139841.75,6821181.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,70,-1,0,0,0,0,0,0
2018-02-11,839,153894.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139841.75,7892030.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,62,-1,0,0,0,0,0,0
2018-02-18,698,153894.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139841.75,6028954.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,70,0,0,0,0,0,0,0
2018-02-25,745,153894.1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139841.75,6476062.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,52,0,0,0,0,0,0,0
2018-03-04,777,118468.4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109495,6975598.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,65,-1,0,0,0,0,0,0
