id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
dbee0444-31d4,1B7FD14T4GS133724,,,,1986.0,Dodge,,,,,RWD,Automatic,,,,auto market king llc,931 Wyoming Ave,Pittston,PA,18643
e07e45a1-0804,WDBBA48D4HA067502,14962.0,136225.0,U20303,1987.0,Mercedes-Benz,Convertible,500,,,RWD,Automatic,,,,heller motors,720 S. Deerfield Rd.,Pontiac,IL,61764
a1b00a6b-f49a,WDBBA48D3JA084488,,106800.0,084488,1988.0,Mercedes-Benz,500,,,,RWD,Automatic,,,,arizona classic car sales,2010 W. Parkside Ln. # 118,Phoenix,AZ,85027
7ab27ef1-78fc,1GCCS19ZXK2221370,12500.0,12421.0,1CM0036P,1989.0,Chevrolet,Durango,S,Pickup,,RWD,Automatic,,,,lafontaine automotive group,3500 Jackson Rd,Ann Arbor,MI,48103
c610502d-4c48,1G1YY2380L5118025,10995.0,36000.0,,1990.0,Chevrolet,Corvette,,,,RWD,Automatic,,,,brian jones motorsports inc,2902 Riverside Dr,Danville,VA,24541
e6174173-8464,1FMEU15Y5MLA32831,,0.0,2990A,1991.0,Ford,,Base,,,4WD,Automatic,,,,r & r auto group,388 Route 61s,Schuylkill Haven,PA,17972
8a2300e9-bf37,4E3CT64U0NE088491,12999.0,501.0,C119,1992.0,Eagle,Talon,Turbo,Coupe,Car,4WD,Manual,Unleaded,2.0,,aristocrat auto broker,4730 North Nevada Avenue,Colorado Springs,CO,80918
3355b013-19dd,WDBEA28E1PB990118,,178210.0,AP021809,1993.0,Mercedes-Benz,300,E,,,RWD,Automatic,,,,ap auto,174 Cambridge Street,Fredericksburg,VA,22405
1a5d0d56-f736,1GTEK14Z9RZ505929,16995.0,130000.0,2071,1994.0,GMC,Sierra 1500,Speed,,Truck,,Manual,,,,aaa motor cars,20229 Nordhoff Street,Chatsworth,CA,91311
c23fce77-c442,1GBJC34K3RE310558,10850.0,82250.0,1241,1994.0,Chevrolet,Truck,3500,,Truck,,Automatic,,,,gearhead inc,27873 U.S. 50,La Junta,CO,81050
53612bb0-930e,1G6KS52Y5SU817403,4900.0,96224.0,817403,1995.0,Cadillac,Seville,SLS,Sedan,Car,FWD,Automatic,Unleaded,4.6,V,gunter's mercedes sales & service,336 Saluda Street,Rock Hill,SC,29730
a3ae8ffa-d5c5,WBAEF632XSCC90060,21000.0,90662.0,UC90060,1995.0,BMW,8 Series,840Ci,Coupe,Car,RWD,Automatic,Unleaded,4.0,V,a7 auto sales,1525 State Avenue,Holly Hill,FL,32117
5e81bf3b-a0e4,4T1BF12B8TU074562,,185140.0,545107A,1996.0,Toyota,Avalon,XLS,,Car,FWD,Automatic,,,,haley chevrolet,12400 Tennesse Plaza,Midlothian,VA,23112
bf78f53c-c726,WDBHA28E9TF326942,,73671.0,,1996.0,Mercedes-Benz,,C,,,RWD,Automatic,,,,wheels unlimited,1151 Morthland Drive,Valparaiso,IN,46385
9d0191c1-3ef3,1P4GP44RXVB255840,,,190486,1997.0,Plymouth,Grand Voyager,SE,Minivan,Truck,FWD,Automatic,Unleaded,2.4,I,lindell's auto salvage,411 Oregon 11,Pendleton,OR,97801
038c73a0-7da5,WDBGA70G9VA350440,5995.0,79000.0,325,1997.0,Mercedes-Benz,S-Class,S 500,Coupe,Car,RWD,Automatic,Premium Unleaded,5.0,V,express lube auto sales,30759 Sussex Highway,Laurel,DE,19956.0
f75d31c2-dabd,2B6HB21XXVK516154,5950.0,66590.0,B21006,1997.0,Dodge,Ram Van,,,,RWD,Automatic,,,,mitch crawford's holiday motors,27504 S Walker Road,Harrisonville,MO,64701
a5569cd6-f453,JHLRD1864WC039274,,193513.0,21608,1998.0,Honda,CR-V,Base,SUV,Truck,4WD,Automatic,Unleaded,2.0,I,s&h motor sales,51466 State Road 19,Elkhart,IN,46514
a99bfced-f682,1GNEK13R9WJ373497,5893.0,285778.0,C373497,1998.0,Chevrolet,Tahoe,Base,SUV,Truck,4WD,Automatic,Unleaded,5.7,V,mountain motors,19 South Broadway,Billings,MT,59101
cfb7b808-9c6d,1C3EJ56H2WN115082,,1.0,CV115082,1998.0,Chrysler,Cirrus,LXI,Sedan,Car,FWD,Automatic,Unleaded,2.5,V,bastian's auto outlet,106 E 1st Ave,Coal Valley,IL,61240
4496d0b3-7e1d,1HGCG5641WA079764,,323846.0,,1998.0,Honda,Accord,LX,Sedan,Car,FWD,Automatic,Unleaded,2.3,I,lloyds toyota,500 17th St. Sw,Jamestown,ND,58401
d5d773be-5f8f,3B7HF13Z6XG109215,9995.0,136251.0,37559,1999.0,Dodge,Ram Pickup,ST,Pickup,Truck,4WD,Automatic,Unleaded,5.9,V,lithia auto stores,150 North Bartlett,Medford,OR,97501.0
8ff05933-968b,1FDWW37F6XEB53527,13797.0,260392.0,,1999.0,Ford,F-350 Super Duty,,,,4WD,Automatic,,,,virginia auto mall,6201 Jefferson Davis Hwy,Woodford,VA,22580
fbb8cbfc-d694,2C3HE66G8XH738960,5495.0,135432.0,1357,1999.0,Chrysler,300M,Base,Sedan,Car,FWD,Automatic,Unleaded,3.5,V,top notch auto sales,550 South Bascom Ave,San Jose,CA,95128
734d68d0-e823,1HGCG2256XA010499,4495.0,234400.0,7110,1999.0,Honda,Accord,EX-L V6,Coupe,Car,FWD,Automatic,Unleaded,3.0,V,georgia motors,1881 Watson Boulevard,Warner Robins,GA,31093
c3853bcd-40be,2GTEK19T3X1561729,,244746.0,35808A,1999.0,GMC,Sierra,SLE,Pickup,Truck,4WD,Automatic,Unleaded,5.3,V,hardy chevrolet buick gmc,1249 Charles Hardy Parkway,Dallas,GA,30157
437f5286-fafb,1G1JF12T0X7299869,,94800.0,16682,1999.0,Chevrolet,Cavalier,,Coupe,Car,,,,,,hi lo auto sales - frederick,1427 W. Patrick St,Frederick,MD,21702
807e3316-122d,WBSDE9345YBZ96572,19800.0,164968.0,Z96572,2000.0,BMW,5 Series,Base,Sedan,Car,RWD,Manual,Premium Unleaded,4.9,V,canyon car company,31580 Railroad Canyon Rd. B,Canyon Lake,CA,92587
